;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
MINISTÉRIO DA INFRAESTRUTURA;;;;;;;;;;;;;;;;;;
SECRETARIA EXECUTIVA;;;;;;;;;;;;;;;;;;
SUBSECRETARIA DE PLANEJAMENTO, ORÇAMENTO E ADMINISTRAÇÃO;;;;;;;;;;;;;;;;;;
COORDENAÇÃO-GERAL DE ACOMPANHAMENTO E AVALIAÇÃO;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Base de dados: 08/01/2020;
;;;;;;;;;;;;;;;;;;
SÉRIE HISTÓRICA;;;;;;;;;;;;;;;;;;
PAC - Programa de Aceleração do Crescimento;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;R$ Mil
DISCRIMINAÇÃO;;REALIZADO *;;;;;;;;;;;;;;;;LEI + CRÉDITOS 2019
;;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;"2019 
(até dez)";TOTAL;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
TOTAL;;1.093.048;2.397.811;5.050.846;6.034.628;9.698.687;14.418.028;13.069.932;11.562.456;14.548.618;16.767.279;12.036.497;11.189.106;12.945.712;10.968.392;9.700.282;151.481.321;9.702.478
;Setor Aeroviário;0;0;0;0;0;0;0;0;2.204.585;1.951.683;1.967.130;1.860.894;2.886.005;1.175.331;1.584.318;13.629.947;1.832.658
;Setor Rodoviário;910.412;1.997.655;3.968.748;4.429.946;7.289.340;10.443.092;10.009.945;9.196.716;8.804.169;10.629.669;6.855.666;6.779.134;8.046.401;7.682.674;6.736.894;103.780.460;5.935.867
;Setor Ferroviário;133.935;275.977;443.140;882.313;969.983;2.538.799;1.744.552;1.054.487;2.689.645;2.728.154;2.169.979;971.015;612.756;647.927;551.023;18.413.685;492.887
;Setor Aquaviário;48.701;99.907;586.191;596.527;1.146.528;1.092.591;997.807;922.485;270.672;600.019;321.426;574.465;495.693;665.897;358.270;8.777.179;1.049.424
;Outros Setores;0;24.272;52.767;125.842;292.836;343.546;317.628;388.768;579.547;857.754;722.295;1.003.598;904.857;796.563;469.777;6.880.050;391.642
;;;;;;;;;;;;;;;;;;
(*) Realizado = RAP Liquidado no Exercício + Empenhos Liquidados;;;;;;;;;;;;;;;;;;
